sheet_name,column,question_code,question_group,chart_title,field_type,applicable_to,non_empty_count,unique_count,analysis_status,skip_reason,notes,source_header
问卷数据,M,Q12,到达与入场体验,现场导视与指引清晰度,rating_10pt,,65,7,analyze,,原始值中的 11 已按空值处理,Q12- / 请您对以下“到达与入场体验”进行评价【10分制】 / —4. 现场导视与指引清晰度
问卷数据,N,Q12,到达与入场体验,入场动线安排,rating_10pt,,63,6,analyze,,原始值中的 11 已按空值处理,Q12- / 请您对以下“到达与入场体验”进行评价【10分制】 / —5. 从入口到展区的动线安排
问卷数据,O,Q13,场馆环境与基础条件,展区环境整洁度,rating_10pt,,74,7,analyze,,,Q13- / 请您对以下“场馆环境与基础条件”进行评价【10分制】 / —1. 展会区域整体环境整洁度
问卷数据,P,Q13,场馆环境与基础条件,展区温度、通风及舒适度,rating_10pt,,74,6,analyze,,,Q13- / 请您对以下“场馆环境与基础条件”进行评价【10分制】 / —2. 展区温度、通风及舒适度
问卷数据,Q,Q13,场馆环境与基础条件,基础配套情况,rating_10pt,,74,7,analyze,,,Q13- / 请您对以下“场馆环境与基础条件”进行评价【10分制】 / —3. 卫生间、公共区域等基础配套情况
问卷数据,R,Q13,场馆环境与基础条件,休息等便利设施,rating_10pt,,74,8,analyze,,,Q13- / 请您对以下“场馆环境与基础条件”进行评价【10分制】 / —4. 休息区、等候区等便利设施设置
问卷数据,S,Q13,场馆环境与基础条件,施工干扰控制,rating_10pt,,74,9,analyze,,,Q13- / 请您对以下“场馆环境与基础条件”进行评价【10分制】 / —5. 现场噪音、粉尘、围挡等对体验的影响控制
问卷数据,T,Q14,测试阶段现场管理,现场秩序管理,rating_10pt,,74,6,analyze,,,Q14- / 请您对以下“测试阶段现场管理”进行评价【10分制】 / —1. 现场秩序管理
问卷数据,U,Q14,测试阶段现场管理,安全管理与风险提示,rating_10pt,,74,7,analyze,,,Q14- / 请您对以下“测试阶段现场管理”进行评价【10分制】 / —2. 安全管理与风险提示
问卷数据,V,Q14,测试阶段现场管理,服务态度,rating_10pt,,74,6,analyze,,,Q14- / 请您对以下“测试阶段现场管理”进行评价【10分制】 / —3. 工作人员服务态度
问卷数据,W,Q14,测试阶段现场管理,响应速度,rating_10pt,,74,8,analyze,,,Q14- / 请您对以下“测试阶段现场管理”进行评价【10分制】 / —4. 工作人员响应速度
问卷数据,X,Q14,测试阶段现场管理,问题协调效率,rating_10pt,,74,6,analyze,,,Q14- / 请您对以下“测试阶段现场管理”进行评价【10分制】 / —5. 现场问题协调处理效率
问卷数据,Y,Q15,参展商/服务商展会体验,参展商体验-布撤展便利性,rating_10pt,参展商/服务商,29,5,analyze,,条件题，仅对对应身份样本有值,Q15- / 请您对以下“展会体验”进行评价【10分制】（参展商/服务商） / —1. 布撤展便利性
问卷数据,Z,Q15,参展商/服务商展会体验,参展商体验-货运进出场便利性,rating_10pt,参展商/服务商,29,5,analyze,,条件题，仅对对应身份样本有值,Q15- / 请您对以下“展会体验”进行评价【10分制】（参展商/服务商） / —2. 货运/卸货/进出场便利性
问卷数据,AA,Q15,参展商/服务商展会体验,参展商体验-餐饮、休息等配套便利性,rating_10pt,参展商/服务商,29,8,analyze,,条件题，仅对对应身份样本有值,Q15- / 请您对以下“展会体验”进行评价【10分制】（参展商/服务商） / —3. 餐饮、休息等配套便利性
问卷数据,AB,Q15,参展商/服务商展会体验,参展商体验-与场馆方沟通顺畅度,rating_10pt,参展商/服务商,29,6,analyze,,条件题，仅对对应身份样本有值,Q15- / 请您对以下“展会体验”进行评价【10分制】（参展商/服务商） / —4. 与场馆方沟通协调顺畅度
问卷数据,AC,Q16,观众展会体验,观众体验-展区参观便利性,rating_10pt,观众,45,6,analyze,,条件题，仅对对应身份样本有值,Q16-请您对以下“展会体验”进行评价【10分制】（观众）—1. 展区参观便利性
问卷数据,AD,Q16,观众展会体验,观众体验-找馆找展便利性,rating_10pt,观众,45,7,analyze,,条件题，仅对对应身份样本有值,Q16-请您对以下“展会体验”进行评价【10分制】（观众）—2. 找馆找展便利性
问卷数据,AE,Q16,观众展会体验,观众体验-接待咨询服务,rating_10pt,观众,45,6,analyze,,条件题，仅对对应身份样本有值,Q16-请您对以下“展会体验”进行评价【10分制】（观众）—3. 现场接待/咨询服务
问卷数据,AF,Q16,观众展会体验,观众体验-餐饮、休息等配套便利性,rating_10pt,观众,45,7,analyze,,条件题，仅对对应身份样本有值,Q16-请您对以下“展会体验”进行评价【10分制】（观众）—4. 餐饮、休息等配套便利性
问卷数据,AG,Q17,主办方工作人员展会体验,主办方体验-场地适配性,rating_10pt,主办方工作人员,0,0,skip,本列无有效作答,条件题，仅对对应身份样本有值,Q17-请您对以下“展会体验”进行评价【10分制】（主办方工作人员）—1. 场地适配性
问卷数据,AH,Q17,主办方工作人员展会体验,主办方体验-现场支持配合,rating_10pt,主办方工作人员,0,0,skip,本列无有效作答,条件题，仅对对应身份样本有值,Q17-请您对以下“展会体验”进行评价【10分制】（主办方工作人员）—2. 现场支持配合
问卷数据,AI,Q17,主办方工作人员展会体验,主办方体验-问题响应效率,rating_10pt,主办方工作人员,0,0,skip,本列无有效作答,条件题，仅对对应身份样本有值,Q17-请您对以下“展会体验”进行评价【10分制】（主办方工作人员）—3. 问题响应效率
问卷数据,AJ,Q17,主办方工作人员展会体验,主办方体验-整体可执行性,rating_10pt,主办方工作人员,0,0,skip,本列无有效作答,条件题，仅对对应身份样本有值,Q17-请您对以下“展会体验”进行评价【10分制】（主办方工作人员）—4. 测试条件下的整体可执行性
问卷数据,AK,Q19,是否感受到未完工状态,是否感受到未完工状态,single_choice,,74,4,analyze,,,Q19- / 您是否感受到当前二期场馆尚处于分阶段启用/部分未完工状态？【单选】
问卷数据,AL,Q20,未完工状态影响程度,未完工状态影响程度,single_choice,,74,4,analyze,,,Q20- / 当前场馆尚未完全完工的情况，对您的体验影响程度如何？【单选】
问卷数据,AM,Q21,明显问题,明显问题-导视不清/找路不便,multiple_choice_option,,19,1,analyze,,,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _1. 导视不清、找路不便
问卷数据,AN,Q21,明显问题,明显问题-停车或上下客不便,multiple_choice_option,,6,1,analyze,,,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _2. 停车或上下客不便
问卷数据,AO,Q21,明显问题,明显问题-施工痕迹影响观感,multiple_choice_option,,7,1,analyze,,,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _3. 现场围挡/施工痕迹影响观感
问卷数据,AP,Q21,明显问题,明显问题-噪音粉尘异味影响,multiple_choice_option,,9,1,analyze,,,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _4. 噪音、粉尘或异味影响体验
问卷数据,AQ,Q21,明显问题,明显问题-配套设施不足,multiple_choice_option,,15,1,analyze,,,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _5. 配套设施不足（休息区、餐饮、卫生间等）
问卷数据,AR,Q21,明显问题,明显问题-服务响应不及时,multiple_choice_option,,2,1,analyze,,,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _6. 场馆服务响应不够及时
问卷数据,AS,Q21,明显问题,明显问题-布撤展物流不顺畅,multiple_choice_option,,3,1,analyze,,,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _7. 布撤展/物流组织不够顺畅
问卷数据,AT,Q21,明显问题,明显问题-安全提示或秩序不足,multiple_choice_option,,2,1,analyze,,,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _8. 安全提示或秩序管理不足
问卷数据,AU,Q21,明显问题,明显问题-数字化信息不清晰,multiple_choice_option,,9,1,analyze,,,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _9. 数字化服务/信息发布不够清晰
问卷数据,AV,Q21,明显问题,明显问题-其他,open_text,,3,3,qualitative_review,“其他”补充文本，建议人工归纳后再分析,建议单独做文本归纳,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _10. 其他 __
问卷数据,AW,Q21,明显问题,明显问题-无明显问题,multiple_choice_option,,31,1,analyze,,,Q21- / 以下哪些问题是您本次体验中感受较明显的？【多选题】 / _11. 本次没有明显问题
问卷数据,AX,Q23,待提升方面,待提升-导视与动线,multiple_choice_option,,16,1,analyze,,,Q23- / 您觉得场馆哪些方面还有待提升？【多选】 / _1. 导视与动线
问卷数据,AY,Q23,待提升方面,待提升-环境与基础配套,multiple_choice_option,,28,1,analyze,,,Q23- / 您觉得场馆哪些方面还有待提升？【多选】 / _2. 环境与基础配套
问卷数据,AZ,Q23,待提升方面,待提升-布撤展/物流组织,multiple_choice_option,,1,1,analyze,,,Q23- / 您觉得场馆哪些方面还有待提升？【多选】 / _3. 布撤展/物流组织
问卷数据,BA,Q23,待提升方面,待提升-现场服务响应,multiple_choice_option,,5,1,analyze,,,Q23- / 您觉得场馆哪些方面还有待提升？【多选】 / _4. 现场服务响应
问卷数据,BB,Q23,待提升方面,待提升-安全秩序管理,multiple_choice_option,,3,1,analyze,,,Q23- / 您觉得场馆哪些方面还有待提升？【多选】 / _5. 安全秩序管理
问卷数据,BC,Q23,待提升方面,待提升-餐饮服务,multiple_choice_option,,22,1,analyze,,,Q23- / 您觉得场馆哪些方面还有待提升？【多选】 / _6. 餐饮服务
问卷数据,BD,Q23,待提升方面,待提升-其他,open_text,,20,9,qualitative_review,“其他”补充文本，建议人工归纳后再分析,建议单独做文本归纳,Q23- / 您觉得场馆哪些方面还有待提升？【多选】 / _7. 其他 __
问卷数据,BE,Q24,意见建议,意见建议,open_text,,74,67,qualitative_review,开放题文本，适合做文本归纳而非直接图表统计,建议单独做文本归纳,Q24- / 请写下您对本次二期展会体验的意见或建议。【开放题】
问卷数据,BF,,扩展字段,扩展字段,metadata,,0,0,skip,系统保留字段,,扩展字段
问卷数据,BG,,用户ID,用户ID,metadata,,0,0,skip,系统用户字段,,用户ID
问卷数据,BH,,修改用户,修改用户,metadata,,0,0,skip,系统用户字段,,修改用户
问卷数据,BI,,提交时间,提交时间,metadata,,74,74,skip,提交时间元数据，非题目答案,,提交时间
问卷数据,BJ,,修改时间,修改时间,metadata,,74,74,skip,修改时间元数据，非题目答案,,修改时间
问卷数据,BK,,录音,录音,metadata,,0,0,skip,平台扩展字段，无有效内容,,录音
问卷数据,BL,,填表时长,填表时长,metadata,,0,0,skip,平台扩展字段，无有效内容,,填表时长
问卷数据,BM,,开始填表时间,开始填表时间,metadata,,0,0,skip,平台扩展字段，无有效内容,,开始填表时间
问卷数据,BN,,待审核的任务id,待审核的任务id,metadata,,74,1,skip,工作流字段，且全列常量,,待审核的任务id
问卷数据,BO,,上次审核的任务id,上次审核的任务id,metadata,,74,1,skip,工作流字段，且全列常量,,上次审核的任务id
问卷数据,BP,,层级列表,层级列表,metadata,,0,0,skip,平台扩展字段,,层级列表
问卷数据,BQ,,待审核的用户,待审核的用户,metadata,,74,1,skip,工作流字段，且全列常量,,待审核的用户
问卷数据,BR,,填表地址,填表地址,metadata,,0,0,skip,平台扩展字段，无有效内容,,填表地址
问卷数据,BS,,用户名称,用户名称,metadata,,0,0,skip,平台扩展字段，无有效内容,,用户名称
